Subject,Activity,MAE,RMSE,MAPE,R2,Pearson r,??5bpm (%),NaN (%)
P04,ssst-sing,27.42,30.11,32.68,-2187.29,-0.88,0,25
P04,jogging,54.76,82.32,69.41,-1051.21,-0.06,55.6,0
P04,running,14.51,31.1,16.92,-199.98,0.43,65.4,0
P04,walking,51.57,57.99,56.02,-47.44,-0.23,0,0
P04,meditation-1,5.56,6.54,7.65,-0.68,0.21,45.8,0
P04,meditation-2,9.7,13.52,11.33,-0.26,0.17,39.2,0
P04,rest-1,39.06,165.96,47.61,-966.61,0.24,46.4,0
P04,rest-2,6.47,9.25,8.95,-223.18,0.14,51.9,0
P04,rest-3,17.33,40.81,24.14,-1499.71,-0.46,39.3,0
P04,rest-4,22.79,26.52,21.72,-157.83,0.61,13.3,0
P04,rest-5,33.7,40.54,24.08,-7.49,0.06,10.8,2.63
P04,screen-reading,5.53,6.58,7.04,-1.4,-0.01,45.2,0
P04,standing,12.58,18.96,17.27,-32.51,-0.05,31.7,2.38
P05,keyboard-typing,19.64,26.69,25.56,-1584.4,-0.29,17.1,0
P05,mobile-typing,24.22,36.7,31.47,-448.56,-0.26,29.3,0
P05,ssst-sing,18.27,18.99,18.64,-333.95,-0.99,0,0
P05,jogging,19.83,32.13,23.56,-264.79,-0.09,19.2,0
P05,running,10.33,13.64,11.81,-13.61,-0.22,30.8,0
P05,walking,28.18,32.56,34.06,-248.92,-0.12,7.7,0
P05,meditation-1,13.77,31.93,18.07,-210.53,0.19,52.9,1.41
P05,meditation-2,15.74,25.52,21.79,-56.01,0.16,42.3,0
P05,rest-1,26.18,59.39,33.87,-1204.94,0.16,53.8,0
P05,rest-2,4.56,6.14,5.89,-171.6,-0.89,57.7,0
P05,rest-3,11.95,13.84,13.23,-3.62,0.01,19.2,0
P05,rest-4,9.84,13.56,11.55,-168.69,-0.42,26.9,0
P05,rest-5,25.7,31.55,31.12,-17.12,-0.97,11.5,0
P05,screen-reading,9.03,15.53,11.53,-29.85,-0.29,41.5,0
P05,standing,10.25,10.83,11.27,-1.63,0.02,2.4,0
P06,keyboard-typing,34.97,45.79,42.29,-136.97,0.01,15,2.44
P06,mobile-typing,7.79,10.79,10,-9.37,0.1,39.5,0
P06,ssst-sing,29.74,30.15,37.88,-282.59,0.53,0,0
P06,jogging,44.84,51.26,58.89,-2654.8,-0.5,3.7,0
P06,running,45.69,57.77,54.31,-701.93,-0.78,29.6,0
P06,walking,45.89,49.73,54.6,-123.31,0.21,0,0
P06,meditation-1,6,7.38,8.46,-4.34,0.21,50,0
P06,meditation-2,14.77,22.05,15.08,-0.47,-0.02,47.2,0
P06,rest-1,19.15,24.17,25.14,-95.03,0.32,17.2,0
P06,rest-2,22.59,28.86,28.08,-33.44,-0.22,14.8,0
P06,rest-3,19.21,26.33,23.12,-1836.74,-0.41,17.9,0
P06,rest-4,29.98,33.52,29.76,-41.73,0.62,0,0
P06,rest-5,29.8,35.52,39.02,-478.98,0.49,7.4,0
P06,screen-reading,5.56,7.11,7.58,-35.76,-0.56,54.8,0
P06,standing,9.55,13.22,10.92,-7.98,0.05,33.3,0
P07,keyboard-typing,13.22,16.57,18.96,-19.42,0.09,19.5,0
P07,mobile-typing,4.33,5.21,6.27,-20.18,-0.7,65.9,0
P07,ssst-sing,16.53,17.02,19.44,-434.93,0.82,0,0
P07,jogging,69.05,76.07,79.2,-46.92,0.29,0,0
P07,running,15.72,21.28,18.47,-88.46,-0.47,30.8,0
P07,walking,18.56,21.1,23.38,-12.54,0.19,0,0
P07,meditation-1,3.65,4.75,5.29,-7.01,-0.3,76.1,0
P07,meditation-2,6.29,8.05,8.85,-7.23,-0.07,47.9,0
P07,rest-1,3.99,5.29,5.47,-38.24,-0.12,73.1,0
P07,rest-2,2.55,3.63,3.48,-144.2,-0.7,84.6,0
P07,rest-3,14.84,21.17,18.16,-18.21,0.31,24,3.85
P07,rest-4,15.65,17.04,18.64,-6.3,0.68,7.7,0
P07,rest-5,24.12,26.97,17.89,-24.5,0.77,7.7,0
P07,screen-reading,2.98,3.72,4.32,-9.8,-0.17,78,0
P07,standing,5.25,7.37,6.62,-31.02,-0.61,68.3,0
P08,keyboard-typing,44.03,60.14,60.75,-190.07,0.1,7.3,0
P08,mobile-typing,5.68,7.64,8.83,-19.69,0.21,52.5,2.44
P08,ssst-sing,6.29,6.4,9.03,-297.48,-0.85,0,0
P08,jogging,28.57,37.99,23.81,-1.75,0.32,14.8,0
P08,running,59.86,69.25,68.51,-266.07,0.41,0,0
P08,walking,27.59,30.08,36.73,-1143.32,-0.18,3.8,0
